journal_topic,device_type,material_system,application_area,temperature_K,bias_voltage_V,quantum_well_width_nm,bandgap_eV,effective_mass_me,barrier_height_eV,photon_wavelength_nm,photon_energy_eV,is_infrared,spin_polarization,quantum_efficiency,performance_metric,meets_spec,device_complexity_index
Spintronics Devices,Spintronic MRAM Cell,GaAs/AlGaAs,Visible LEDs,272.68,1.624,0.587,0.924,0.303,0.199,1333.1,0.93,1,0.627,0.36,2.972,0,0.359
Photoelectric Effect,Spintronic MRAM Cell,WSe2,Infrared Sensing,263.82,2.366,1.359,1.765,0.195,0.489,702.1,1.766,1,0.734,0.413,10.062,0,0.63
Single Quantum Well,QD-Based LCD Pixel,CdSe/CdS QDs,Visible LEDs,343.06,2.636,3.113,2.011,0.38,0.347,529.5,2.342,0,0.326,0.323,16.768,0,0.472
Quantum Cascade Laser,QD-Based LCD Pixel,GaAs/AlGaAs,Optical Communication,306.82,2.579,1.744,1.409,0.202,0.357,903.3,1.373,1,0.004,0.436,14.501,0,0.114
k·p Perturbation Theory,Quantum Well Laser,GaN/AlGaN,Optical Communication,309.49,2.466,3.745,3.074,0.278,0.388,380.9,3.256,0,0.035,0.527,12.033,0,0.593
Schrodinger Cat Paradox,QD-Based LCD Pixel,WSe2,Display Technology,292.27,3.007,4.381,1.694,0.27,0.377,795,1.56,1,-0.097,0.468,18.372,0,0.333
Quantum Cascade Laser,Spintronic MRAM Cell,GaAs/AlGaAs,Optical Communication,295.68,2.465,1.838,1.389,0.336,0.259,922,1.345,1,0.751,0.513,18.546,0,0.524
Single Quantum Well,Avalanche Photodiode,MoS2,Non-Volatile Memory,324.11,1.538,5.076,1.923,0.088,0.327,703.5,1.763,1,-0.243,0.328,0.788,0,0.688
Photoelectric Effect,Spintronic MRAM Cell,GaN/AlGaN,Display Technology,299.19,3.78,0.5,2.837,0.389,0.273,386.5,3.209,0,0.633,0.554,24.168,0,0.62
Photoelectric Effect,2D-TMD FET,GaAs/AlGaAs,Display Technology,313.27,3.753,1.245,1.21,0.232,0.344,1005.8,1.233,1,-0.187,0.717,26.633,1,0.324
Single Quantum Well,2D-TMD FET,GaAs/AlGaAs,Visible LEDs,295.1,3.843,1.425,2.005,0.422,0.334,556.4,2.229,0,-0.055,0.606,34.238,1,0.346
Photoelectric Effect,2D-TMD FET,GaAs/AlGaAs,Infrared Sensing,291.45,1.459,1.363,1.257,0.252,0.262,951.4,1.303,1,-0.512,0.318,8.501,0,0.565
Photoelectric Effect,Quantum Cascade Laser,CdSe/CdS QDs,Terahertz Emission,264.83,3.299,5.177,2.03,0.295,0.167,673.4,1.841,0,-0.226,0.488,18.283,0,0.578
Single Quantum Well,QD-Based LCD Pixel,WSe2,Terahertz Emission,250.56,3.676,3.363,1.401,0.491,0.315,959.5,1.292,1,0.293,0.36,19.82,0,0.482
Schrodinger Cat Paradox,Quantum Cascade Laser,WSe2,Non-Volatile Memory,293.46,1.969,3.891,1.723,0.272,0.28,662.1,1.873,0,0.166,0.397,3.186,0,0.444
Quantum Cascade Laser,QD-Based LCD Pixel,MoS2,Optical Communication,301.41,3.009,2.392,1.613,0.424,0.111,745.7,1.663,1,0.264,0.492,15.064,0,0.471
Photoelectric Effect,Spintronic MRAM Cell,GaAs/AlGaAs,Optical Communication,267.85,2.884,0.5,1.312,0.304,0.351,941.7,1.317,1,0.556,0.405,12.142,0,0.364
Single Quantum Well,Avalanche Photodiode,WSe2,Infrared Sensing,299.14,4.842,4.509,1.909,0.342,0.397,678.8,1.827,0,0.135,0.707,46.485,1,0.642
Quantum Cascade Laser,Avalanche Photodiode,ZnSe-based,Optical Communication,301.34,4.924,4.279,2.894,0.307,0.553,340.4,3.643,0,-0.091,0.479,31.987,1,0.57
k·p Perturbation Theory,Quantum Well Laser,ZnSe-based,Terahertz Emission,246.1,1.336,4.836,2.914,0.385,0.261,345.4,3.59,0,-0.207,0.144,4.999,0,0.79
Spintronics Devices,Quantum Well Laser,CdSe/CdS QDs,Infrared Sensing,277.12,5.494,1.994,1.469,0.231,0.246,868.8,1.427,1,0.229,0.69,30.328,1,0.389
k·p Perturbation Theory,Quantum Cascade Laser,MoS2,Infrared Sensing,310.18,2.085,4.968,2.167,0.202,0.189,474.7,2.612,0,0.013,0.307,10.545,0,0.531
Single Quantum Well,Quantum Cascade Laser,WSe2,Terahertz Emission,309.68,3.981,7.082,1.462,0.236,0.321,826,1.501,1,0.499,0.72,33.794,1,0.824
Quantum Cascade Laser,Quantum Well Laser,CdSe/CdS QDs,Display Technology,271.16,3.97,4.118,2.459,0.31,0.32,512.5,2.42,0,-0.073,0.544,23.332,0,0.555
Single Quantum Well,Quantum Cascade Laser,CdSe/CdS QDs,Infrared Sensing,303.96,2.004,3.908,2.306,0.278,0.219,558.4,2.221,0,0.395,0.351,3.124,0,0.663
k·p Perturbation Theory,Spintronic MRAM Cell,MoS2,Visible LEDs,325.56,3.493,1.155,1.915,0.371,0.283,640.3,1.937,0,0.906,0.553,34.114,1,0.612
k·p Perturbation Theory,Avalanche Photodiode,GaAs/AlGaAs,Non-Volatile Memory,319.43,2.892,7.049,1.229,0.43,0.102,990.7,1.252,1,0.267,0.465,14.089,0,0.613
k·p Perturbation Theory,Quantum Cascade Laser,InGaAs/InP,Non-Volatile Memory,297.62,3.554,2.465,0.823,0.202,0.393,1549.4,0.8,1,0.339,0.698,23.774,1,0.324
Colloidal Quantum Dots,Quantum Cascade Laser,CdSe/CdS QDs,Terahertz Emission,288.3,3.231,4.305,1.859,0.227,0.223,681.4,1.82,0,-0.205,0.573,23.495,0,0.417
Quantum Cascade Laser,Spintronic MRAM Cell,GaN/AlGaN,Terahertz Emission,284.27,4.196,0.6,3.009,0.156,0.297,379.8,3.265,0,0.504,0.556,34.69,1,0.612
Quantum Cascade Laser,Quantum Cascade Laser,InGaAs/InP,Terahertz Emission,311.7,3.075,3.179,0.763,0.503,0.157,1628.1,0.762,1,-0.207,0.597,18.073,0,0.247
k·p Perturbation Theory,QD-Based LCD Pixel,MoS2,Optical Communication,304.88,2.832,2.95,1.392,0.33,0.242,909.8,1.363,1,-0.246,0.487,8.811,0,0.393
Schrodinger Cat Paradox,Avalanche Photodiode,WSe2,Infrared Sensing,315.74,4.096,6.021,1.924,0.348,0.272,730.3,1.698,1,0.133,0.504,27.157,1,0.667
Single Quantum Well,Quantum Cascade Laser,ZnSe-based,Non-Volatile Memory,303.3,3.58,6.701,2.784,0.166,0.299,484.8,2.558,0,-0.039,0.577,30.774,1,0.786
k·p Perturbation Theory,Quantum Cascade Laser,InGaAs/InP,Optical Communication,320.47,3.732,4.672,0.727,0.3,0.348,1765.7,0.702,1,0.01,0.542,20.034,1,0.22
Single Quantum Well,Avalanche Photodiode,ZnSe-based,Visible LEDs,302.36,2.335,3.435,2.688,0.351,0.444,430.8,2.878,0,0.111,0.372,10.465,0,0.53
Schrodinger Cat Paradox,QD-Based LCD Pixel,CdSe/CdS QDs,Optical Communication,319.62,1.955,5.493,2.108,0.275,0.373,562.2,2.206,0,-0.371,0.419,10.326,0,0.74
Quantum Cascade Laser,Avalanche Photodiode,ZnSe-based,Terahertz Emission,321.77,2.432,3.359,2.621,0.408,0.396,461.3,2.688,0,0.257,0.46,11.799,0,0.587
Single Quantum Well,Avalanche Photodiode,GaN/AlGaN,Optical Communication,279.89,2.379,3.143,2.323,0.531,0.445,526.5,2.355,0,-0.07,0.378,12.35,0,0.55
k·p Perturbation Theory,QD-Based LCD Pixel,ZnSe-based,Optical Communication,254.8,3.786,1.225,2.881,0.205,0.357,379.9,3.264,0,0.106,0.338,13.61,0,0.358
k·p Perturbation Theory,2D-TMD FET,InGaAs/InP,Infrared Sensing,338.59,3.976,1.698,0.878,0.198,0.296,1475.8,0.84,1,0.124,0.45,18.564,0,0.074
Single Quantum Well,QD-Based LCD Pixel,CdSe/CdS QDs,Optical Communication,306.42,2.845,3.968,1.94,0.212,0.401,683.3,1.815,0,0.274,0.595,20.362,0,0.606
Quantum Cascade Laser,2D-TMD FET,WSe2,Non-Volatile Memory,257.14,4.431,2.209,1.47,0.461,0.407,828,1.498,1,-0.021,0.533,19.802,0,0.239
k·p Perturbation Theory,2D-TMD FET,WSe2,Visible LEDs,282.15,4.368,0.5,1.718,0.404,0.365,753.9,1.645,1,-0.425,0.616,29.365,1,0.241
Colloidal Quantum Dots,Quantum Cascade Laser,CdSe/CdS QDs,Terahertz Emission,319.3,3.243,6.187,1.561,0.286,0.155,805.7,1.539,1,0.011,0.583,19.981,0,0.528
Schrodinger Cat Paradox,QD-Based LCD Pixel,InGaAs/InP,Infrared Sensing,293.01,2.178,3.07,0.646,0.304,0.216,1955.7,0.634,1,0.04,0.378,8.619,0,0.327
Spintronics Devices,Avalanche Photodiode,ZnSe-based,Non-Volatile Memory,287.2,4.575,5.209,2.65,0.218,0.273,400.7,3.094,0,-0.207,0.491,21.155,0,0.599
Spintronics Devices,Quantum Cascade Laser,GaAs/AlGaAs,Non-Volatile Memory,335.02,2.939,1.528,1.569,0.389,0.378,783.1,1.583,1,0.029,0.45,11.979,0,0.408
Spintronics Devices,Spintronic MRAM Cell,WSe2,Non-Volatile Memory,273.82,3.126,1.734,1.627,0.262,0.298,759,1.634,1,0.678,0.536,21.225,1,0.478
Photoelectric Effect,2D-TMD FET,MoS2,Display Technology,280.05,2.66,1.393,1.71,0.274,0.414,756.1,1.64,1,-0.269,0.462,12.38,0,0.36
Single Quantum Well,2D-TMD FET,MoS2,Infrared Sensing,305.28,2.11,0.981,2.191,0.361,0.432,534.5,2.32,0,0.134,0.424,4.952,0,0.245
Colloidal Quantum Dots,Quantum Cascade Laser,InGaAs/InP,Non-Volatile Memory,309.76,1.531,4.968,0.853,0.281,0.42,1328.9,0.933,1,-0.113,0.352,5.352,0,0.422
Schrodinger Cat Paradox,Spintronic MRAM Cell,InGaAs/InP,Display Technology,312.41,3.633,0.617,0.851,0.277,0.421,1403.3,0.884,1,0.683,0.61,27.335,1,0.365
Single Quantum Well,Avalanche Photodiode,MoS2,Terahertz Emission,322.78,2.217,3.131,1.726,0.301,0.196,715.3,1.733,1,-0.093,0.403,12.343,0,0.293
Single Quantum Well,QD-Based LCD Pixel,ZnSe-based,Non-Volatile Memory,304.96,6.06,2.537,2.681,0.38,0.348,465.8,2.662,0,0.247,0.747,47.584,1,0.728
Schrodinger Cat Paradox,Spintronic MRAM Cell,CdSe/CdS QDs,Non-Volatile Memory,312.23,1.914,0.5,1.344,0.465,0.239,1006.8,1.232,1,0.478,0.395,1.002,0,0.306
Schrodinger Cat Paradox,Spintronic MRAM Cell,ZnSe-based,Terahertz Emission,293.52,1.743,1.431,2.994,0.359,0.135,443.3,2.797,0,0.438,0.376,5.491,0,0.544
Single Quantum Well,QD-Based LCD Pixel,ZnSe-based,Non-Volatile Memory,301.57,3.51,4.192,2.89,0.38,0.271,433.2,2.862,0,-0.088,0.638,26.555,1,0.666
k·p Perturbation Theory,Spintronic MRAM Cell,CdSe/CdS QDs,Terahertz Emission,302.69,4.529,0.649,1.946,0.28,0.432,635.5,1.951,0,0.529,0.668,44.621,1,0.567
Photoelectric Effect,Quantum Well Laser,MoS2,Optical Communication,305.38,3.065,4.522,1.773,0.229,0.346,754.8,1.643,1,0.27,0.483,8.078,0,0.642
Schrodinger Cat Paradox,Avalanche Photodiode,InGaAs/InP,Visible LEDs,319.31,3.572,3.602,0.91,0.365,0.502,1332.5,0.931,1,0.13,0.61,21.961,1,0.262
Photoelectric Effect,Avalanche Photodiode,MoS2,Optical Communication,313.88,1.156,4.492,1.489,0.317,0.318,825.7,1.502,1,0.137,0.389,8.413,0,0.488
Quantum Cascade Laser,QD-Based LCD Pixel,GaAs/AlGaAs,Optical Communication,301.11,2.322,2.372,1.282,0.158,0.545,912.8,1.359,1,0.121,0.461,10.777,0,0.176
Schrodinger Cat Paradox,Quantum Well Laser,InGaAs/InP,Visible LEDs,279.77,1.926,2.675,0.63,0.267,0.318,2040.6,0.608,1,-0.276,0.366,8.913,0,0.374
Colloidal Quantum Dots,Avalanche Photodiode,WSe2,Infrared Sensing,301.69,1.105,5.578,2.054,0.292,0.302,623.2,1.99,0,-0.175,0.323,0,0,0.513
Spintronics Devices,Spintronic MRAM Cell,WSe2,Visible LEDs,299.3,3.117,0.968,1.875,0.249,0.172,625.9,1.981,0,0.502,0.494,18.126,0,0.387
Colloidal Quantum Dots,QD-Based LCD Pixel,WSe2,Visible LEDs,304.83,0.757,5.022,1.259,0.448,0.411,978.8,1.267,1,-0.145,0.354,6.868,0,0.484
Spintronics Devices,Spintronic MRAM Cell,InGaAs/InP,Non-Volatile Memory,355.16,1.678,1.023,0.573,0.348,0.25,2189.8,0.566,1,0.308,0.28,4.836,0,0.243
Quantum Cascade Laser,2D-TMD FET,MoS2,Terahertz Emission,286.91,2.463,0.537,1.774,0.437,0.235,686.6,1.806,0,-0.374,0.437,13.195,0,0.332
k·p Perturbation Theory,2D-TMD FET,WSe2,Terahertz Emission,310.56,2.169,1.613,1.606,0.326,0.428,745.6,1.663,1,-0.269,0.42,4.955,0,0.461
Quantum Cascade Laser,Quantum Well Laser,WSe2,Visible LEDs,326.71,3.396,4.946,1.435,0.308,0.416,831.3,1.492,1,-0.051,0.496,17.731,0,0.511
k·p Perturbation Theory,2D-TMD FET,GaN/AlGaN,Infrared Sensing,302.45,3.306,1.363,3.5,0.206,0.413,371.2,3.34,0,-0.014,0.618,24.266,0,0.503
k·p Perturbation Theory,Spintronic MRAM Cell,MoS2,Display Technology,358.45,3.894,1.595,1.863,0.301,0.264,647.9,1.914,0,0.47,0.347,23.324,0,0.384
Spintronics Devices,Spintronic MRAM Cell,WSe2,Optical Communication,290.55,3.752,0.674,1.795,0.301,0.295,668.1,1.856,0,0.653,0.635,44.461,1,0.594
Spintronics Devices,Quantum Well Laser,MoS2,Non-Volatile Memory,308.1,4.141,3.809,1.662,0.163,0.294,679.5,1.825,0,-0.087,0.647,36.06,1,0.374
Schrodinger Cat Paradox,Spintronic MRAM Cell,GaAs/AlGaAs,Visible LEDs,280.03,2.998,0.914,1.544,0.246,0.378,806.8,1.537,1,0.853,0.49,15.935,0,0.665
Colloidal Quantum Dots,QD-Based LCD Pixel,MoS2,Infrared Sensing,291.21,3.303,1.709,1.724,0.268,0.455,710.2,1.746,1,-0.032,0.605,13.173,0,0.418
Spintronics Devices,Spintronic MRAM Cell,GaN/AlGaN,Non-Volatile Memory,306.22,3.512,0.868,2.915,0.341,0.337,409.3,3.03,0,0.711,0.601,27.687,1,0.681
k·p Perturbation Theory,Quantum Well Laser,ZnSe-based,Infrared Sensing,321.16,3.142,6.005,2.922,0.346,0.497,434.3,2.855,0,0.041,0.442,23.637,0,0.772
Schrodinger Cat Paradox,Spintronic MRAM Cell,CdSe/CdS QDs,Infrared Sensing,307.98,2.603,1.119,1.511,0.242,0.39,857.9,1.445,1,0.08,0.502,10.321,0,0.022
Colloidal Quantum Dots,2D-TMD FET,ZnSe-based,Non-Volatile Memory,331.48,2.668,0.5,3.119,0.347,0.277,432.6,2.866,0,-0.018,0.383,12.324,0,0.346
Quantum Cascade Laser,QD-Based LCD Pixel,CdSe/CdS QDs,Infrared Sensing,297.63,2.182,1.444,2.055,0.282,0.383,631.1,1.965,0,-0.247,0.437,13.343,0,0.465
Schrodinger Cat Paradox,Quantum Well Laser,GaAs/AlGaAs,Display Technology,291.7,3.422,6.497,1.656,0.05,0.471,736.7,1.683,1,-0.022,0.611,26.194,1,0.639
Schrodinger Cat Paradox,2D-TMD FET,CdSe/CdS QDs,Optical Communication,367.6,2.906,0.955,1.677,0.252,0.5,710.9,1.744,1,-0.149,0.294,7.952,0,0.188
Quantum Cascade Laser,2D-TMD FET,CdSe/CdS QDs,Visible LEDs,309.86,2.337,0.676,1.723,0.408,0.419,667.5,1.858,0,0.076,0.501,13.957,0,0.21
Single Quantum Well,Avalanche Photodiode,CdSe/CdS QDs,Display Technology,282.01,2.338,3.589,1.651,0.132,0.303,721.2,1.719,1,-0.268,0.374,8.344,0,0.314
Photoelectric Effect,QD-Based LCD Pixel,InGaAs/InP,Infrared Sensing,282.64,1.79,1.523,0.838,0.311,0.278,1481.5,0.837,1,0.003,0.363,4.097,0,0.178
Single Quantum Well,Quantum Cascade Laser,InGaAs/InP,Display Technology,276.43,3.979,6.135,0.81,0.459,0.358,1491.7,0.831,1,0.114,0.635,24.746,1,0.36
Spintronics Devices,Spintronic MRAM Cell,GaAs/AlGaAs,Display Technology,323.41,3.079,0.803,1.307,0.224,0.467,953.5,1.301,1,0.728,0.546,21.27,1,0.536
Single Quantum Well,Quantum Cascade Laser,ZnSe-based,Terahertz Emission,290.89,2.137,6.051,2.597,0.3,0.343,429.2,2.889,0,-0.153,0.402,10.951,0,0.793
k·p Perturbation Theory,QD-Based LCD Pixel,CdSe/CdS QDs,Infrared Sensing,303.18,3.809,3.052,1.62,0.17,0.345,682.4,1.817,0,0.004,0.724,43.485,1,0.308
Colloidal Quantum Dots,2D-TMD FET,InGaAs/InP,Display Technology,298.41,2.44,1.715,0.793,0.463,0.305,1605.2,0.772,1,0.037,0.516,13.909,0,0.206
Quantum Cascade Laser,QD-Based LCD Pixel,InGaAs/InP,Terahertz Emission,318.29,1.593,3.257,0.73,0.292,0.267,1674.5,0.741,1,0.309,0.41,9.723,0,0.36
k·p Perturbation Theory,2D-TMD FET,InGaAs/InP,Display Technology,278.83,4.021,1.427,0.697,0.305,0.284,1736.8,0.714,1,-0.296,0.606,20.165,1,0.265
Quantum Cascade Laser,2D-TMD FET,GaAs/AlGaAs,Infrared Sensing,273.11,2.463,1.36,1.709,0.435,0.314,670.7,1.849,0,-0.182,0.355,12.477,0,0.237
Photoelectric Effect,Quantum Well Laser,CdSe/CdS QDs,Display Technology,305.61,2.591,4.935,1.975,0.366,0.472,648.9,1.911,0,0.561,0.476,15.801,0,0.778
Photoelectric Effect,Avalanche Photodiode,MoS2,Optical Communication,315.02,3.041,4.522,2.054,0.212,0.276,672.4,1.844,0,-0.055,0.522,22.402,0,0.395
k·p Perturbation Theory,QD-Based LCD Pixel,InGaAs/InP,Non-Volatile Memory,308.31,4.143,2.767,0.72,0.235,0.305,1702,0.729,1,-0.378,0.708,29.489,1,0.245
k·p Perturbation Theory,Spintronic MRAM Cell,WSe2,Visible LEDs,279.76,3.02,1.958,1.749,0.349,0.213,698.2,1.776,0,0.488,0.542,24.422,0,0.478
Colloidal Quantum Dots,Quantum Well Laser,ZnSe-based,Non-Volatile Memory,316.94,1.801,2.64,2.789,0.238,0.372,498.2,2.489,0,-0.554,0.324,13.444,0,0.665
Photoelectric Effect,Quantum Well Laser,GaAs/AlGaAs,Non-Volatile Memory,281.4,3.544,4.006,1.06,0.088,0.437,1078.8,1.149,1,0.048,0.546,24.658,1,0.374
Single Quantum Well,Spintronic MRAM Cell,InGaAs/InP,Optical Communication,286.96,2.515,1.007,1.014,0.295,0.462,1320.9,0.939,1,0.691,0.457,16.626,0,0.377
Photoelectric Effect,Spintronic MRAM Cell,GaN/AlGaN,Non-Volatile Memory,276.4,4.888,1.201,2.959,0.152,0.32,541.2,2.291,0,0.597,0.473,33.81,1,0.755
Photoelectric Effect,Avalanche Photodiode,GaN/AlGaN,Terahertz Emission,332.53,2.999,3.356,3.224,0.462,0.357,300,4.133,0,-0.094,0.35,19.181,0,0.599
Schrodinger Cat Paradox,Avalanche Photodiode,InGaAs/InP,Visible LEDs,315.84,0.765,4.472,0.687,0.318,0.285,1799.6,0.689,1,0.185,0.233,0,0,0.413
Spintronics Devices,Quantum Well Laser,ZnSe-based,Infrared Sensing,315.12,3.357,3.747,2.767,0.209,0.353,412.2,3.008,0,-0.35,0.546,27.294,1,0.678
Photoelectric Effect,Spintronic MRAM Cell,MoS2,Terahertz Emission,331.18,4.945,0.5,1.627,0.23,0.331,749.1,1.655,1,0.561,0.563,25.856,1,0.477
k·p Perturbation Theory,Quantum Well Laser,GaN/AlGaN,Optical Communication,370.32,4.576,4.014,3.371,0.111,0.306,346.9,3.574,0,-0.046,0.316,16.405,0,0.667
Quantum Cascade Laser,Spintronic MRAM Cell,MoS2,Visible LEDs,257.27,4.831,0.5,1.862,0.19,0.314,706.4,1.755,1,0.58,0.468,25.489,1,0.474
Schrodinger Cat Paradox,Quantum Cascade Laser,GaAs/AlGaAs,Non-Volatile Memory,281.54,1.98,1.398,1.473,0.402,0.345,836,1.483,1,-0.059,0.477,12.497,0,0.29
Quantum Cascade Laser,Quantum Cascade Laser,GaN/AlGaN,Visible LEDs,284.6,3.912,4.205,3.407,0.523,0.271,318.4,3.895,0,-0.253,0.454,19.081,0,0.604
Colloidal Quantum Dots,QD-Based LCD Pixel,CdSe/CdS QDs,Terahertz Emission,278.73,2.278,3.488,2.347,0.373,0.276,519.7,2.386,0,0.043,0.432,11.05,0,0.348
Single Quantum Well,Spintronic MRAM Cell,MoS2,Visible LEDs,273.06,3.224,1.263,1.953,0.291,0.471,660.6,1.877,0,0.596,0.529,26.204,1,0.504
Photoelectric Effect,QD-Based LCD Pixel,CdSe/CdS QDs,Terahertz Emission,292.51,1.727,3.567,1.573,0.257,0.571,728.9,1.701,1,0.11,0.32,4.608,0,0.399
Photoelectric Effect,QD-Based LCD Pixel,GaN/AlGaN,Optical Communication,269.58,2.356,1.067,2.791,0.204,0.18,361.9,3.426,0,0.04,0.307,11.89,0,0.406
Colloidal Quantum Dots,2D-TMD FET,GaN/AlGaN,Display Technology,308.38,2.324,0.5,2.699,0.506,0.174,559.1,2.218,0,0.041,0.352,20.833,0,0.321
Photoelectric Effect,QD-Based LCD Pixel,InGaAs/InP,Non-Volatile Memory,301.29,3.899,4.974,0.909,0.281,0.204,1331.8,0.931,1,-0.289,0.645,25.617,1,0.539
Spintronics Devices,Spintronic MRAM Cell,ZnSe-based,Infrared Sensing,312.03,3.801,0.5,2.834,0.512,0.29,430.7,2.879,0,0.869,0.609,34.303,1,0.592
Single Quantum Well,Quantum Cascade Laser,WSe2,Infrared Sensing,312.69,3.277,4.916,1.422,0.439,0.39,852.2,1.455,1,-0.066,0.634,17.526,0,0.463
Colloidal Quantum Dots,Avalanche Photodiode,InGaAs/InP,Display Technology,315.08,1.65,2.97,0.772,0.126,0.359,1634.3,0.759,1,-0.033,0.335,4.008,0,0.155
Photoelectric Effect,Spintronic MRAM Cell,GaAs/AlGaAs,Non-Volatile Memory,290.66,2.688,1.04,1.101,0.233,0.317,1214.7,1.021,1,0.596,0.523,13.188,0,0.421
k·p Perturbation Theory,Quantum Well Laser,WSe2,Non-Volatile Memory,353.03,2.254,3.05,1.689,0.233,0.353,763,1.625,1,-0.144,0.318,8.184,0,0.277
Spintronics Devices,2D-TMD FET,GaAs/AlGaAs,Optical Communication,305.86,3.87,1.281,1.069,0.292,0.231,1084.1,1.144,1,0.27,0.569,25.279,1,0.296
Quantum Cascade Laser,2D-TMD FET,GaN/AlGaN,Non-Volatile Memory,253.44,4.178,1.068,3.159,0.294,0.276,323.4,3.835,0,0.289,0.357,19.269,0,0.411
Schrodinger Cat Paradox,Quantum Well Laser,InGaAs/InP,Terahertz Emission,274.94,4.056,3.328,0.857,0.6,0.298,1427.5,0.869,1,0.151,0.532,28.57,1,0.303
k·p Perturbation Theory,QD-Based LCD Pixel,InGaAs/InP,Optical Communication,256.49,2.245,1.95,1.086,0.192,0.142,1128.2,1.099,1,-0.196,0.374,5.647,0,0.348
Single Quantum Well,Quantum Well Laser,CdSe/CdS QDs,Visible LEDs,300.43,0.26,4.402,2.254,0.323,0.184,463.9,2.673,0,-0.437,0.213,0.856,0,0.698
Quantum Cascade Laser,QD-Based LCD Pixel,WSe2,Visible LEDs,296.95,1.233,1.787,1.615,0.362,0.188,808.6,1.534,1,0.216,0.322,5.604,0,0.233
Single Quantum Well,Quantum Well Laser,WSe2,Terahertz Emission,288.29,4.422,4.641,1.864,0.3,0.376,611.1,2.029,0,0.022,0.56,34.58,1,0.434
Schrodinger Cat Paradox,Quantum Cascade Laser,InGaAs/InP,Infrared Sensing,350.27,2.599,7.94,0.59,0.311,0.325,2175.1,0.57,1,-0.149,0.346,12.643,0,0.491
Single Quantum Well,Spintronic MRAM Cell,WSe2,Visible LEDs,313.72,2.249,1.675,1.508,0.196,0.361,913.6,1.357,1,0.817,0.459,12.981,0,0.458
Schrodinger Cat Paradox,QD-Based LCD Pixel,CdSe/CdS QDs,Display Technology,318.15,4.643,3.718,2.1,0.311,0.116,578.1,2.145,0,-0.172,0.623,38.131,1,0.518
Photoelectric Effect,Quantum Cascade Laser,GaN/AlGaN,Optical Communication,276.72,4.265,3.872,2.353,0.351,0.152,549,2.258,0,-0.085,0.563,28.74,1,0.553
Single Quantum Well,2D-TMD FET,WSe2,Display Technology,275.02,3.024,0.5,1.693,0.333,0.366,671,1.848,0,0.105,0.488,23.109,0,0.257
Photoelectric Effect,QD-Based LCD Pixel,GaN/AlGaN,Display Technology,300.92,2.707,1.678,2.694,0.357,0.05,491.5,2.523,0,-0.223,0.503,19.934,0,0.511
Single Quantum Well,Avalanche Photodiode,CdSe/CdS QDs,Display Technology,304.33,2.868,5.924,2.03,0.441,0.422,585.8,2.117,0,-0.022,0.402,19.899,0,0.581
k·p Perturbation Theory,QD-Based LCD Pixel,MoS2,Non-Volatile Memory,253.59,3.227,2.21,1.584,0.394,0.118,728.2,1.703,1,0.218,0.484,12.025,0,0.352
Schrodinger Cat Paradox,QD-Based LCD Pixel,GaAs/AlGaAs,Display Technology,295.49,4.6,2.301,1.485,0.307,0.384,820.6,1.511,1,0.042,0.744,30.694,1,0.218
Photoelectric Effect,Quantum Cascade Laser,GaAs/AlGaAs,Display Technology,300.35,3.422,3.752,1.404,0.183,0.211,860,1.442,1,0.249,0.648,26.815,1,0.432
Photoelectric Effect,QD-Based LCD Pixel,ZnSe-based,Terahertz Emission,294.62,3.726,1.938,3.08,0.24,0.405,386.3,3.21,0,0.227,0.597,23.388,0,0.443
Quantum Cascade Laser,2D-TMD FET,WSe2,Visible LEDs,279.67,4.169,0.5,1.701,0.278,0.621,776.3,1.597,1,0.002,0.507,22.817,1,0.127
Schrodinger Cat Paradox,QD-Based LCD Pixel,GaAs/AlGaAs,Visible LEDs,286.51,1.83,2.95,1.246,0.325,0.073,955.7,1.297,1,-0.467,0.416,9.565,0,0.488
Quantum Cascade Laser,QD-Based LCD Pixel,CdSe/CdS QDs,Non-Volatile Memory,295.58,3.755,2.108,1.926,0.252,0.37,730.6,1.697,1,-0.221,0.541,18.386,0,0.398
Photoelectric Effect,Spintronic MRAM Cell,ZnSe-based,Infrared Sensing,302.27,2.705,0.629,2.531,0.206,0.119,423.6,2.927,0,0.788,0.449,17.349,0,0.828
Single Quantum Well,Avalanche Photodiode,GaN/AlGaN,Terahertz Emission,315.12,0.484,2.828,3.122,0.181,0.343,478,2.594,0,-0.31,0.228,0,0,0.538
Single Quantum Well,QD-Based LCD Pixel,CdSe/CdS QDs,Display Technology,327.02,0.872,3.522,2.177,0.135,0.279,518.8,2.39,0,-0.065,0.275,1.332,0,0.454
Quantum Cascade Laser,Quantum Cascade Laser,MoS2,Non-Volatile Memory,292.64,1.982,3.652,2.294,0.277,0.313,540.5,2.294,0,0.068,0.381,7.902,0,0.388
Quantum Cascade Laser,Spintronic MRAM Cell,CdSe/CdS QDs,Infrared Sensing,288.6,3.531,0.911,1.813,0.153,0.209,659.3,1.881,0,0.733,0.64,33.127,1,0.501
Colloidal Quantum Dots,Avalanche Photodiode,GaAs/AlGaAs,Visible LEDs,310.94,3.114,4.895,1.346,0.2,0.378,903.8,1.372,1,-0.115,0.506,13.827,0,0.45
Quantum Cascade Laser,Avalanche Photodiode,GaAs/AlGaAs,Visible LEDs,315.27,3.184,3.787,1.285,0.261,0.155,1005.2,1.234,1,-0.129,0.665,20.706,1,0.459
