Synthesis_Method,Gas_Type,Temperature_C,Pressure_torr,Catalyst_FeCoNi_at_pct,Growth_Time_min,Purity_%,SWCNT_Fraction,Diameter_nm,Length_um,Raman_GD,Electrical_Conductivity_Sm,Resistivity_uOhm_cm,Application,EMI_Shielding_dB,Gas_Sensitivity_%,Capacitance_Fg,Failure_Mode,Severity,Occurrence,Detectability,Failure_Label,PhD_Topic
CVD,CO,746.22,323.79,1.75,82.62,89.2,0.415,11.004,616.84,144.1,590500,147.2771,Biomedical,7.63,22.96,13.72,Pore_Collapse,8,8,5,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1251.89,462.67,2.49,94.11,89.7,0.623,7.182,850.71,80.34,868500,123.1361,Sensor,27.99,83.12,39.55,Junction_Breakdown,6,3,8,0,CNT_EMI_Composites
Arc Discharge,Ar,3628.1,435.73,0.61,37.99,87.57,0.22,13.831,1052.03,72.95,586500,181.7573,EMI_Shielding,48.62,1.22,11.46,Electromigration,4,4,5,0,CNT_Sensors
Laser Ablation,Ar,1221.64,401.47,2.34,58.51,85.08,0.608,14.991,980.98,93.92,815200,103.3486,Interconnect,1.39,5.94,12.64,Junction_Breakdown,7,6,7,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1188,448.01,0.57,53.33,89.03,0.764,1.376,1059.31,63.52,753800,135.2636,Energy_Electrode,36.36,17.06,120.58,Electromigration,4,6,3,1,CNT_Interconnects
Laser Ablation,Ar,1236.96,596.16,1.39,36.39,87.52,0.687,13.88,1630.76,58.35,753000,108.4755,Energy_Electrode,17.63,15.84,277.09,Drift_in_Sensitivity,4,2,5,0,CNT_Synthesis_Optimization
Arc Discharge,Ar,3889.76,253.66,1.46,52.5,82.42,0.509,2.856,79.71,122.04,699700,146.8079,Interconnect,8.06,7,22.48,Electromigration,9,5,7,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1211.32,406.89,0.62,54.35,87.6,0.625,28.942,434.95,58.02,818400,132.2997,Sensor,28.16,56.99,43.39,Drift_in_Sensitivity,8,2,8,0,CNT_Energy_Electrodes
Arc Discharge,He,3940.63,415.58,2.78,82.26,75.35,0.216,8.787,1959.32,52.43,467000,220.9744,Biomedical,5.68,31.5,71.04,Pore_Collapse,8,8,2,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1167.78,498.97,1.13,45.63,88.17,0.667,24.735,385.91,72.18,698000,158.241,Interconnect,2.93,6.93,15.11,Matrix_Cracking,9,7,3,1,CNT_Sensors
CVD,C2H2,721.91,312.89,2.91,88.21,92.96,0.727,1.532,979.16,110.44,684800,153.7716,Sensor,28.89,85.44,28.13,Contamination,6,4,3,1,CNT_Interconnects
Laser Ablation,Ar,1184.83,499.66,0.69,76.45,86.19,0.83,1.558,938.85,143.87,906500,103.7907,EMI_Shielding,34.99,2.57,41.56,Pore_Collapse,8,4,6,0,CNT_EMI_Composites
CVD,CH4,746.43,287.43,1.69,67.55,90.11,0.45,25.466,403.75,115.41,636900,175.9934,Biomedical,20.45,17.87,57.57,Electromigration,6,6,4,0,CNT_Interconnects
Arc Discharge,He,3847.61,411.42,0.52,57.78,79.92,0.468,11.42,626.53,106.87,698400,170.4612,Biomedical,16.02,37.25,38.77,Drift_in_Sensitivity,6,4,8,1,CNT_Energy_Electrodes
Arc Discharge,He,4010.1,466.71,0.89,61.24,74.15,0.405,21.716,266.97,79.81,643400,137.0069,EMI_Shielding,48.66,4.79,49.97,Electromigration,5,3,7,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1298.47,569.36,1.81,78.98,89.31,0.757,1.31,72.25,142.21,885300,101.2615,Sensor,11.54,15.55,27.72,Drift_in_Sensitivity,4,6,5,0,CNT_EMI_Composites
Arc Discharge,Ar,3821.65,484.24,2.63,36.18,84.66,0.241,4.515,863.58,95.24,653700,147.1349,Energy_Electrode,26.83,7.75,191.68,Junction_Breakdown,8,8,2,1,CNT_EMI_Composites
CVD,C2H2,759.7,344.71,1.3,46.52,91.82,0.756,0.775,1333.56,56.1,922100,106.9868,Interconnect,2.8,5.58,36.32,Drift_in_Sensitivity,7,7,6,1,CNT_Interconnects
CVD,CO,720.41,198.61,1.37,90.64,93.94,0.427,5.286,1855.86,50.35,708500,153.4248,Energy_Electrode,27.71,17.12,212.79,Drift_in_Sensitivity,7,3,6,1,CNT_Synthesis_Optimization
Arc Discharge,He,3831.16,423.47,2.52,61.45,79.69,0.597,7.329,768.15,132.88,700600,170.7193,Energy_Electrode,15.64,0.98,60.3,Junction_Breakdown,5,7,6,1,CNT_Interconnects
CVD,CO,758.26,151,1.33,77.25,86.42,0.632,2.564,992.34,139.67,760300,145.5569,Sensor,13.93,65.41,50.96,Thermal_Runaway,6,8,7,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1248.91,474.84,2.95,53.57,86.68,0.706,1.616,225.5,56.74,898200,121.0481,Sensor,20.57,63.49,56.11,Electromigration,8,6,8,0,CNT_Sensors
Arc Discharge,He,3574.26,481.04,1.78,48.78,73.75,0.536,29.227,1320.36,85.33,711500,114.3614,Energy_Electrode,18.22,15.83,219.58,Pore_Collapse,5,5,2,1,CNT_EMI_Composites
CVD,CO,707.45,197.7,1.63,61.44,97.89,0.518,3.653,1023.81,88.38,696900,131.3509,Energy_Electrode,32.26,6.91,281.7,Junction_Breakdown,4,3,4,1,CNT_EMI_Composites
Arc Discharge,Ar,4639.15,213.54,2.61,68.57,85.78,0.524,24.158,812.15,145.97,575100,204.4908,Energy_Electrode,36.81,16.31,282.72,Thermal_Runaway,6,6,4,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1286.74,440.64,2.22,71.17,85.5,0.803,1.65,1696.55,106.07,831700,132.6564,Interconnect,0.2,2.91,7.46,Matrix_Cracking,8,8,3,1,CNT_Energy_Electrodes
CVD,C2H2,695.15,286.75,0.76,73.06,96.3,0.739,1.647,1423.15,135.07,906900,121.9088,Interconnect,17.16,8.67,29.81,Pore_Collapse,6,8,3,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1261.91,495.19,1.76,47.95,87.79,0.722,1.905,1379.13,102.21,836400,131.7327,Biomedical,19.28,30.11,24.58,Pore_Collapse,8,3,2,0,CNT_Energy_Electrodes
CVD,CO,763.07,277.06,2.79,73.84,86.51,0.473,13.887,1428.55,57.21,655800,171.9905,Biomedical,13.4,31.65,33.62,Junction_Breakdown,5,5,8,0,CNT_Sensors
Laser Ablation,Ar,1259.99,411.79,2.52,57.83,87.75,0.616,13.554,1824.55,41.27,795200,129.246,Sensor,19.88,42.29,10.07,Thermal_Runaway,5,7,4,0,CNT_EMI_Composites
Arc Discharge,Ar,4531.86,246.34,1.83,17.39,71.6,0.553,21.373,613.6,67.89,477400,169.4002,EMI_Shielding,44.27,1.18,17.03,Drift_in_Sensitivity,4,3,2,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1185.11,544.12,2.9,59.94,85.03,0.82,1.256,910.23,85.26,697200,145.1494,Interconnect,8.17,7.66,17.19,Electromigration,9,2,8,1,CNT_Sensors
CVD,CO,764.51,150.07,2.66,79.84,88.92,0.74,1.719,23.76,135.25,799000,128.6256,Biomedical,19.68,15.36,60.19,Contamination,6,8,4,1,CNT_Synthesis_Optimization
CVD,CO,735.5,337.46,1.3,97.44,97.28,0.564,13.542,217.38,96.85,660900,179.705,Energy_Electrode,34.92,8.02,62.63,Matrix_Cracking,9,5,8,1,CNT_Energy_Electrodes
Arc Discharge,Ar,3787.08,284.07,0.54,63.29,71.97,0.203,15.185,215.5,80.12,528500,153.9113,Interconnect,19.1,1.17,5.49,Thermal_Runaway,6,8,2,1,CNT_Energy_Electrodes
CVD,C2H2,733.37,290.93,2.82,70.89,90.34,0.532,4.146,1849.93,129.72,860300,104.4636,EMI_Shielding,53.12,3.37,26.56,Contamination,8,5,6,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1189.46,488.3,0.56,66.07,85.61,0.726,1.775,1793.63,96.61,788000,112.21,Biomedical,11.72,5.52,10.29,Junction_Breakdown,7,6,6,0,CNT_Synthesis_Optimization
CVD,CO,714.4,319.24,0.73,36.85,88.06,0.515,19.083,121.2,81.87,751500,117.9147,Interconnect,15.78,6.82,18.9,Junction_Breakdown,4,8,3,0,CNT_Sensors
Arc Discharge,He,3699.53,458.09,2.94,58.33,81.18,0.256,5.252,566.71,121.58,455300,214.7397,Interconnect,19.02,5.06,26.73,Thermal_Runaway,8,5,7,0,CNT_Synthesis_Optimization
Arc Discharge,Ar,4683.65,267.19,1.86,67,78.88,0.522,9.067,1528.79,139.39,734600,130.8497,Sensor,8.79,32.87,23.27,Thermal_Runaway,9,7,7,0,CNT_Interconnects
Laser Ablation,Ar,1099.45,562,2.28,60.32,85.42,0.881,1.745,457.52,113.1,812200,136.2122,Interconnect,19.6,5.43,14.19,Matrix_Cracking,6,7,5,1,CNT_EMI_Composites
CVD,C2H2,758.79,301.07,2.45,14.95,93.79,0.541,1.973,1837.07,94.09,847300,97.5857,Biomedical,23.42,16.07,21.53,Contamination,7,4,2,1,CNT_Interconnects
Arc Discharge,Ar,3626.07,391.71,0.74,75.92,73.5,0.233,19.603,328.21,113.97,558600,154.7588,EMI_Shielding,62.92,5.86,38.48,Junction_Breakdown,9,3,2,1,CNT_EMI_Composites
Laser Ablation,Ar,1230.83,485.68,0.91,105.28,85.83,0.897,0.749,1498.1,82.06,933300,126.1443,Interconnect,18.17,0.64,22.2,Pore_Collapse,8,5,2,1,CNT_Interconnects
Arc Discharge,He,4461.79,282.14,2.75,27.95,82.46,0.307,18.235,1381.69,74.55,595700,158.4877,EMI_Shielding,40.05,4.73,18.03,Electromigration,9,5,3,1,CNT_Energy_Electrodes
Arc Discharge,He,4171.28,493.08,0.94,46.62,81.02,0.515,18.211,155.76,56.41,672100,125.3834,Sensor,26.71,34.42,27.83,Contamination,8,2,8,0,CNT_Synthesis_Optimization
CVD,C2H2,725.56,262.69,2.5,18,86.85,0.549,11.338,1506.47,79.13,835800,108.7244,Energy_Electrode,12.87,11.95,124.51,Contamination,4,8,2,0,CNT_Interconnects
CVD,CH4,733.21,233.8,1.1,60.93,96.84,0.583,4.284,1709.02,76.97,876400,130.6867,EMI_Shielding,31.34,5.52,39.76,Matrix_Cracking,7,7,8,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1013.3,526.98,0.87,39.41,86.55,0.89,1.607,1796.52,141.19,976700,103.3348,EMI_Shielding,46.47,7.95,36.89,Electromigration,4,3,4,1,CNT_Synthesis_Optimization
Arc Discharge,Ar,4373.41,453.65,1.13,83.57,81.5,0.416,2.297,673.52,109.35,641800,174.5949,Energy_Electrode,27.11,6.71,254.46,Matrix_Cracking,7,6,7,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1229.03,558.65,1.05,25.62,88.53,0.772,1.622,928.39,149.17,969300,115.2177,EMI_Shielding,53.62,6.98,38.79,Pore_Collapse,6,3,7,0,CNT_EMI_Composites
CVD,CH4,598.51,209.34,2.55,44.08,97.78,0.52,3.206,1174.19,136.18,713300,165.5938,Biomedical,10.9,8.98,6.97,Contamination,7,8,5,1,CNT_Synthesis_Optimization
Arc Discharge,He,3890.5,230.04,2.86,69.86,84.9,0.395,3.317,691.15,47.4,533700,165.4685,Interconnect,14.36,0.22,36.5,Pore_Collapse,5,5,7,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1204.16,589.42,2.44,64.37,86.91,0.836,1.247,865.22,105.16,704500,163.6996,Biomedical,8.22,15.28,62.56,Contamination,4,8,8,0,CNT_Sensors
Laser Ablation,Ar,1253.64,540.12,0.96,53.3,86.57,0.662,14.308,1586.66,87.93,793000,111.9648,EMI_Shielding,21.86,1.84,50.22,Matrix_Cracking,4,5,4,0,CNT_Synthesis_Optimization
Arc Discharge,Ar,3694.33,445.86,2.14,18.6,72.87,0.245,10.93,1138.41,77.26,467800,183.0947,Energy_Electrode,39,10.39,179.32,Electromigration,7,4,5,1,CNT_Interconnects
CVD,CH4,672.08,226.87,1.5,44.57,89.96,0.487,29.597,1357.05,53.19,698800,117.8818,EMI_Shielding,68.87,6.41,50.54,Contamination,4,8,2,0,CNT_Interconnects
Laser Ablation,Ar,1247,531.32,0.61,97.87,87.88,0.749,1.571,1069.48,127.28,662400,128.4479,Energy_Electrode,21,17.23,196.06,Thermal_Runaway,6,2,7,0,CNT_Sensors
Arc Discharge,He,3958,232.58,0.88,56.34,73.41,0.377,17.41,55.05,52.61,590100,155.6679,Biomedical,5.96,24.48,74.36,Contamination,9,8,3,1,CNT_EMI_Composites
Laser Ablation,Ar,1279.78,417.81,2.31,28.11,87.58,0.692,28.717,150.14,117.35,929200,89.0946,Energy_Electrode,21.71,18.86,143.78,Matrix_Cracking,4,2,4,1,CNT_Energy_Electrodes
Arc Discharge,He,3575.42,422.49,2.28,64.46,84.71,0.222,14.507,938.82,124.99,532200,170.8293,Energy_Electrode,39.23,13,138.55,Matrix_Cracking,8,2,3,0,CNT_Interconnects
CVD,CO,686.23,179.03,2.76,77.57,85.31,0.633,2.882,110.23,80.72,611200,174.8084,Biomedical,10.21,35.43,48.74,Drift_in_Sensitivity,4,4,6,0,CNT_Sensors
CVD,CH4,625.39,178.42,1.91,76.24,98.62,0.551,23.018,67.23,59.01,888700,115.3238,Biomedical,14.81,9.13,42.52,Contamination,9,4,3,0,CNT_Interconnects
CVD,CO,768.5,297.95,2.49,53.52,93.42,0.666,10.232,1502.07,51.34,705800,165.6868,Sensor,13.35,46.18,32.44,Junction_Breakdown,7,6,7,0,CNT_Sensors
Arc Discharge,Ar,3920.04,270.77,1.81,49.51,83.93,0.58,14.992,1669.96,135.32,783700,105.8889,Interconnect,17.88,3.33,17.37,Matrix_Cracking,8,3,2,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1221.01,574.14,1.36,67.76,85.09,0.75,1.552,163.38,40.81,697900,161.1952,Interconnect,14.4,3.79,17.49,Contamination,4,6,2,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1305.21,481.35,0.8,85.53,89.36,0.817,0.916,958.81,72.48,871900,133.554,Interconnect,5.19,8.14,23.07,Electromigration,4,2,7,0,CNT_Synthesis_Optimization
CVD,CH4,711.56,115.14,1.14,24.37,86.54,0.715,0.88,1947.52,143.93,737100,115.2059,Interconnect,8.97,0.88,33.31,Junction_Breakdown,9,8,6,0,CNT_Sensors
Arc Discharge,Ar,4084.82,307.28,2.21,70.25,83.13,0.257,12.68,57.32,55.73,517400,191.8934,Energy_Electrode,10.46,7.87,69.83,Pore_Collapse,7,4,3,0,CNT_Interconnects
Arc Discharge,Ar,3906.8,242.4,1.1,55.84,82.31,0.262,4.851,844.71,75.04,563800,193.6519,Sensor,14.39,46.62,46.37,Drift_in_Sensitivity,4,4,5,1,CNT_Sensors
Laser Ablation,Ar,1101.14,541.77,1.79,70.26,85.56,0.672,12.479,691.42,100.4,661800,123.9638,Energy_Electrode,12.96,18.98,187.23,Thermal_Runaway,9,4,4,0,CNT_Sensors
Laser Ablation,Ar,1188.53,571.2,2.82,70.91,87.49,0.658,29.966,467.64,80.91,859000,124.5839,Interconnect,15.21,1.86,38.87,Matrix_Cracking,7,4,7,0,CNT_EMI_Composites
CVD,CH4,747.9,306.6,2.58,79.11,98.89,0.548,23.143,233.42,125.29,754600,155.2868,Interconnect,18.81,5.49,22.04,Thermal_Runaway,6,2,8,1,CNT_Energy_Electrodes
Arc Discharge,Ar,3835.36,271.55,2.36,51.09,74.06,0.595,21.976,778.61,119.67,606800,185.7347,Sensor,23.16,45.4,12.74,Pore_Collapse,8,5,6,0,CNT_Sensors
CVD,C2H2,710.57,300.93,2.64,47.41,96.54,0.554,13.093,1782.93,80.55,653300,155.5905,Interconnect,10.23,6.09,27.29,Junction_Breakdown,6,4,5,0,CNT_Sensors
Laser Ablation,Ar,1064.56,567.11,0.58,63.32,85.83,0.758,1.963,1527.75,111.64,769500,132.947,Energy_Electrode,13.43,3.83,122.36,Junction_Breakdown,5,8,4,1,CNT_Synthesis_Optimization
CVD,CH4,698.72,250.7,0.62,49.66,96.52,0.793,1.627,278.82,123.73,954700,105.2711,Energy_Electrode,20.14,1.38,243.36,Drift_in_Sensitivity,6,4,2,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1249.74,457.61,1.77,100.79,86.49,0.627,18.186,421.76,47.42,868900,124.2523,Energy_Electrode,17.62,7.38,218.12,Matrix_Cracking,4,5,2,0,CNT_Synthesis_Optimization
Arc Discharge,He,4101,459.9,1.67,71.23,85.15,0.566,28.188,972.22,84.67,807400,144.4873,Interconnect,13.14,8.95,22.42,Electromigration,7,2,8,1,CNT_Synthesis_Optimization
Arc Discharge,Ar,4022.93,242.21,1.89,57.67,76.66,0.34,2.496,860.96,44.21,478200,187.1497,Interconnect,17.1,6.13,8.36,Drift_in_Sensitivity,5,5,7,0,CNT_Synthesis_Optimization
Arc Discharge,He,4359.51,262.61,2.76,53.4,83.92,0.246,20.34,53.48,98.84,479700,238.9865,Sensor,23.18,61.28,13.36,Drift_in_Sensitivity,9,8,4,1,CNT_EMI_Composites
Laser Ablation,Ar,1220.25,424.23,1.4,67.13,89.12,0.88,1.544,1816.26,110.39,1005000,105.8649,Interconnect,18.56,7.04,14.93,Matrix_Cracking,8,4,4,1,CNT_Energy_Electrodes
Arc Discharge,Ar,4146.95,329.39,1.62,44.32,84.97,0.426,18.131,125.29,136.83,535000,161.9125,Biomedical,12.86,11.44,70.95,Junction_Breakdown,7,5,4,0,CNT_Synthesis_Optimization
Arc Discharge,Ar,4032.74,322.55,2.7,71.07,82.72,0.354,23.504,1829.37,147.46,665400,137.877,Sensor,19.14,35.3,8.96,Pore_Collapse,9,6,6,1,CNT_Interconnects
CVD,CO,767.69,110.03,2.67,28.41,98.6,0.535,22.807,732.24,83.8,698900,150.798,EMI_Shielding,70.08,3.94,35.89,Electromigration,6,2,3,0,CNT_Synthesis_Optimization
CVD,CO,761.43,236.25,2.33,68.23,97.6,0.601,24.183,1089.74,68.42,862300,108.7133,EMI_Shielding,33.32,1.88,58.81,Matrix_Cracking,9,2,3,1,CNT_Energy_Electrodes
Arc Discharge,Ar,4020.38,496.48,0.65,64.62,72.38,0.443,17.98,1993,141.27,589300,192.5318,Interconnect,4.51,1.11,16.98,Contamination,9,8,7,0,CNT_Sensors
Laser Ablation,Ar,1172.69,427.54,2.41,60.64,85.24,0.841,1.593,1424.54,45.75,800000,133.2617,Interconnect,2.97,2.43,15.94,Thermal_Runaway,5,6,2,0,CNT_Interconnects
CVD,CO,779.86,106.27,2.97,77.61,87.37,0.764,1.548,470.51,73.73,938300,100.1354,Sensor,22.53,74.38,8.35,Junction_Breakdown,6,3,4,0,CNT_EMI_Composites
Arc Discharge,Ar,3708.81,375.77,1.15,45.73,70.79,0.449,9.341,995.94,116.03,512900,229.7008,Energy_Electrode,30.47,14,171.83,Drift_in_Sensitivity,9,5,7,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1198.5,476.07,2.38,67.38,86.51,0.714,1.55,37.46,97.41,876800,127.433,Energy_Electrode,31.6,19.34,158.55,Junction_Breakdown,9,4,8,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1293.18,476.14,2.93,32.46,89.76,0.701,1.794,1641.97,75.49,789000,109.525,Energy_Electrode,37.18,3.04,87.16,Junction_Breakdown,8,5,6,0,CNT_EMI_Composites
Laser Ablation,Ar,1223.44,578.42,1.25,64.1,85.34,0.696,4.456,1658.99,80.08,609700,171.6435,Energy_Electrode,27.58,8.77,211.17,Pore_Collapse,8,5,2,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1280.09,562.18,2.18,62.97,85.15,0.81,1.312,1584.18,143.99,908100,97.7411,Energy_Electrode,38.03,3.97,245.35,Drift_in_Sensitivity,6,2,8,0,CNT_Interconnects
CVD,C2H2,704.27,194.91,2.68,91.57,93.61,0.447,11.385,430.21,71.2,595700,191.5574,Biomedical,9.25,8.22,63.48,Thermal_Runaway,9,4,6,0,CNT_Sensors
Arc Discharge,Ar,3936.09,325.7,0.53,70.5,73.27,0.558,10.412,1103.66,62.58,590300,151.215,Sensor,23.26,63.94,45.92,Junction_Breakdown,5,4,7,0,CNT_EMI_Composites
Arc Discharge,He,3643.74,320.13,1.97,60.79,82.99,0.262,20.578,445.75,101.34,524700,219.8689,Biomedical,7.86,35.22,17.37,Thermal_Runaway,7,7,8,0,CNT_Energy_Electrodes
Arc Discharge,He,4602.05,264.32,0.8,55.45,89.17,0.281,2.24,1225.8,48.48,645800,131.0868,Interconnect,6.56,9.3,12.53,Electromigration,6,5,6,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1110.59,450.27,2.93,64.16,87.22,0.845,1.653,381.27,89.57,916200,106.9657,Biomedical,10,13.52,53.14,Pore_Collapse,6,5,2,1,CNT_Energy_Electrodes
Arc Discharge,Ar,3330.98,371.97,1.21,67.22,72.3,0.218,26.574,216.66,136.66,531500,207.9391,Interconnect,10.58,2.28,22.29,Thermal_Runaway,4,3,8,0,CNT_EMI_Composites
CVD,CH4,700.24,334.44,2.78,61.81,92,0.553,10.446,87.5,44.95,673800,166.0896,Sensor,13.77,81.73,24.67,Electromigration,4,6,5,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1126.83,451.05,2.31,79.99,88.97,0.874,1.702,604.87,112.43,926300,94.9841,EMI_Shielding,71.98,9.37,50.25,Thermal_Runaway,6,8,6,1,CNT_Energy_Electrodes
Arc Discharge,Ar,4213.67,370.91,1.34,45.26,70.21,0.376,12.474,1500.46,103.05,421400,282.516,Sensor,20.23,52.95,57.19,Drift_in_Sensitivity,4,2,3,0,CNT_Interconnects
CVD,C2H2,718.37,288.2,1.71,46.63,88.69,0.474,28.418,1516.12,141.88,757900,108.5249,EMI_Shielding,29.5,8.56,15.13,Electromigration,8,3,5,0,CNT_EMI_Composites
Arc Discharge,He,4086.41,284.78,1.63,71.36,71.53,0.284,8.088,321.79,49.33,438200,219.3758,Energy_Electrode,36.67,14.48,172.46,Thermal_Runaway,4,7,2,1,CNT_Sensors
CVD,C2H2,709.47,140.69,0.97,54.07,89.25,0.452,6.821,819.24,136.41,604100,137.6075,Energy_Electrode,27.19,8.06,282.22,Junction_Breakdown,4,5,4,0,CNT_EMI_Composites
Laser Ablation,Ar,1165.69,470.71,0.62,19.44,88.99,0.815,1.72,1399.11,49.81,975400,85.7263,EMI_Shielding,57.2,9.09,19.03,Matrix_Cracking,5,3,7,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1311.83,495.23,2.26,94.16,88.62,0.801,1.043,388.26,128.95,834800,127.5913,Energy_Electrode,20.77,3.94,216.16,Thermal_Runaway,8,5,2,1,CNT_Synthesis_Optimization
Arc Discharge,Ar,4236.32,351.46,2.24,74.94,80.86,0.273,18.468,1646.95,123.58,483400,247.3613,Interconnect,13.21,0.24,32.84,Matrix_Cracking,8,6,4,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1380.15,560.17,0.66,90.99,89.79,0.714,1.817,596.62,112.04,722600,112.8129,Interconnect,13.58,2.23,34.12,Thermal_Runaway,8,6,5,0,CNT_Energy_Electrodes
CVD,CH4,807.34,341.75,1.79,69.91,87.7,0.403,14.249,1553.47,103.72,638100,127.708,Biomedical,19.42,29.16,47.65,Pore_Collapse,4,6,7,1,CNT_Synthesis_Optimization
CVD,CO,640.51,360.22,1.3,62.08,93.58,0.482,10.208,1336.18,144.97,695600,136.2192,Energy_Electrode,15.14,8.68,134.73,Thermal_Runaway,6,8,6,0,CNT_Sensors
Laser Ablation,Ar,1228.56,516.77,1.26,77.8,86.13,0.769,1.735,1030.78,44.28,809900,128.4412,Energy_Electrode,36.02,17.24,165.83,Electromigration,7,5,8,1,CNT_Interconnects
Laser Ablation,Ar,1199.4,439.53,0.9,73.81,86.19,0.85,1.501,860.72,79.05,974700,86.735,Energy_Electrode,12.39,11.53,154.08,Drift_in_Sensitivity,9,8,3,1,CNT_Energy_Electrodes
Arc Discharge,Ar,3965.62,218.96,2.76,34.86,70.85,0.271,21.477,874.96,73.27,503800,186.362,Energy_Electrode,35.29,15.79,278.77,Thermal_Runaway,4,2,4,1,CNT_Interconnects
Arc Discharge,He,3674.42,478.24,0.8,84.24,89.35,0.331,19.038,1391.26,47.34,633700,139.7868,Biomedical,11.23,20.03,12.46,Matrix_Cracking,7,3,5,0,CNT_EMI_Composites
Laser Ablation,Ar,1225.2,586.44,2.23,34.98,89.13,0.782,0.73,71.75,71.97,863800,119.6665,EMI_Shielding,74.46,4.79,9.41,Contamination,4,5,2,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1183.79,493.01,1.24,74.7,88.68,0.641,16.919,1067.29,116.06,756600,139.0809,Interconnect,8.63,5.12,27.52,Contamination,6,7,4,1,CNT_Sensors
Arc Discharge,He,3970.44,329.14,0.64,91.18,84.64,0.494,5.37,102.32,88.27,648800,130.8673,Biomedical,13.24,30.36,73.84,Contamination,8,5,8,0,CNT_Interconnects
CVD,C2H2,711.73,396.83,1.02,66.91,85.9,0.748,1.472,1387.69,137.82,872800,114.1612,Interconnect,2.06,7.33,35.67,Thermal_Runaway,8,8,6,1,CNT_Synthesis_Optimization
Arc Discharge,Ar,4735.99,265.37,0.89,67.8,73.65,0.372,18.889,503.79,122.14,533500,173.0824,Energy_Electrode,13.52,5.24,187,Electromigration,7,4,3,1,CNT_Sensors
Laser Ablation,Ar,1273.31,534.68,0.54,88.9,85.63,0.689,10.568,134.34,82.35,697000,162.856,Energy_Electrode,39.09,15,273.05,Junction_Breakdown,6,8,3,1,CNT_EMI_Composites
CVD,C2H2,766.97,312.91,1.11,34.6,91.13,0.502,7.656,1085.35,96.21,797200,144.5835,Interconnect,6.96,9.45,11.99,Contamination,8,3,4,1,CNT_EMI_Composites
Laser Ablation,Ar,1155.72,582.37,0.91,56.99,85.21,0.738,1.192,1824.95,75.99,662600,149.7757,Interconnect,19.65,9.68,9.97,Drift_in_Sensitivity,5,7,6,1,CNT_Interconnects
Arc Discharge,Ar,3816.79,375.15,1.31,66.7,79.8,0.538,22.925,1864.48,77.32,592800,155.3613,Sensor,10.21,89.38,27.64,Drift_in_Sensitivity,5,2,7,0,CNT_Sensors
CVD,CO,743.67,218.82,2.9,67.81,91.64,0.598,29.631,407.53,119.78,692000,118.0339,Biomedical,12.3,26.29,76.2,Contamination,6,2,4,1,CNT_Interconnects
Laser Ablation,Ar,1289.47,507.3,2.46,5,86.48,0.778,0.888,746.06,138.24,720100,121.1147,Energy_Electrode,18.13,5.01,123.39,Pore_Collapse,7,6,8,1,CNT_Synthesis_Optimization
Arc Discharge,He,4090.25,284.34,1.47,101.31,86.11,0.539,15.641,349.36,99.63,816500,140.6,Interconnect,8.88,0.46,9.13,Contamination,7,2,2,1,CNT_Interconnects
CVD,CO,738.61,140.78,2.87,42.78,90.19,0.72,1.614,1812.66,77.06,951000,123.6067,EMI_Shielding,77.47,3.66,78.71,Pore_Collapse,7,6,2,1,CNT_Energy_Electrodes
CVD,C2H2,663.54,368.45,2.55,53.05,96.37,0.426,12.442,1222.54,53.27,807500,125.1366,Biomedical,23.61,30.91,27.01,Pore_Collapse,7,3,4,0,CNT_Energy_Electrodes
Arc Discharge,Ar,3864.32,260.1,0.58,88.18,80.79,0.455,16.84,489.7,108.82,522300,175.4897,EMI_Shielding,57.73,0.01,42.03,Contamination,7,4,7,1,CNT_Synthesis_Optimization
Arc Discharge,He,3859.55,378.96,1.87,87.82,72.36,0.493,27.925,1330.09,115.12,627800,181.7865,Biomedical,21.66,31.71,21.02,Pore_Collapse,9,3,2,1,CNT_Sensors
Arc Discharge,Ar,3792.83,406.12,1.58,71.28,75.2,0.56,3.36,1190.06,104.41,511300,188.0854,Interconnect,13.44,0.91,25.44,Drift_in_Sensitivity,8,3,7,0,CNT_EMI_Composites
